940GZZDLABR,Abbey Road DLR Station
940GZZDLALL,All Saints DLR Station
940GZZDLBEC,Beckton DLR Station
940GZZDLBLA,Blackwall DLR Station
940GZZDLBNK,Bank DLR Station
940GZZDLBOW,Bow Church DLR Station
940GZZDLBPK,Beckton Park DLR Station
940GZZDLCAN,Canary Wharf DLR Station
940GZZDLCGT,Canning Town DLR Station
940GZZDLCLA,Crossharbour DLR Station
940GZZDLCUS,Custom House (for ExCel) DLR Station
940GZZDLCUT,Cutty Sark (for Maritime Greenwich) DLR Station
940GZZDLCYP,Cyprus DLR Station
940GZZDLDEP,Deptford Bridge DLR Station
940GZZDLDEV,Devons Road DLR Station
940GZZDLEIN,East India DLR Station
940GZZDLELV,Elverson Road DLR Station
940GZZDLGAL,Gallions Reach DLR Station
940GZZDLGRE,Greenwich DLR Station
940GZZDLHEQ,Heron Quays DLR Station
940GZZDLISL,Island Gardens DLR Station
940GZZDLKGV,King George V DLR Station
940GZZDLLCA,London City Airport DLR Station
940GZZDLLDP,Langdon Park DLR Station
940GZZDLLEW,Lewisham DLR Station
940GZZDLLIM,Limehouse DLR Station
940GZZDLMUD,Mudchute DLR Station
940GZZDLPDK,Pontoon Dock DLR Station
940GZZDLPOP,Poplar DLR Station
940GZZDLPRE,Prince Regent DLR Station
940GZZDLPUD,Pudding Mill Lane DLR Station
940GZZDLRAL,Royal Albert DLR Station
940GZZDLRVC,Royal Victoria DLR Station
940GZZDLSHA,Shadwell DLR Station
940GZZDLSHS,Stratford High Street DLR Station
940GZZDLSIT,Stratford International DLR Station
940GZZDLSOQ,South Quay DLR Station
940GZZDLSTD,Stratford DLR Station
940GZZDLSTL,Star Lane DLR Station
940GZZDLTWG,Tower Gateway DLR Station
940GZZDLWFE,Westferry DLR Station
940GZZDLWHM,West Ham DLR Station
940GZZDLWIQ,West India Quay DLR Station
940GZZDLWLA,Woolwich Arsenal DLR Station
940GZZDLWSV,West Silvertown DLR Station
