910GACTNCTL,Acton Central Rail Station
910GANERLEY,Anerley Rail Station
910GBARKING,Barking Rail Station
910GBTHNLGR,Bethnal Green Rail Station
910GBLCHSRD,Blackhorse Road Rail Station
910GBROCKLY,Brockley Rail Station
910GBRBYPK,Brondesbury Park Rail Station
910GBRBY,Brondesbury Rail Station
910GBRUCGRV,Bruce Grove Rail Station
910GBHILLPK,Bush Hill Park Rail Station
910GBUSHEY,Bushey Rail Station
910GCLDNNRB,Caledonian Road & Barnsbury Rail Station
910GCAMHTH,Cambridge Heath (London) Rail Station
910GCMDNRD,Camden Road Rail Station
910GCNDAW,Canada Water Rail Station
910GCNNB,Canonbury Rail Station
910GCRPNDPK,Carpenders Park Rail Station
910GCHESHNT,Cheshunt Rail Station
910GCHINGFD,Chingford Rail Station
910GCLPHHS,Clapham High Street Rail Station
910GCLPHMJ1,Clapham Junction Rail Station
910GCLPHMJC,Clapham Junction Rail Station
910GCLAPTON,Clapton Rail Station
910GCROUCHH,Crouch Hill Rail Station
910GCRYSTLP,Crystal Palace Rail Station
910GDALS,Dalston Junction Rail Station
910GDALSKLD,Dalston Kingsland Rail Station
910GDENMRKH,Denmark Hill Rail Station
910GEDMNGRN,Edmonton Green Rail Station
910GEMRSPKH,Emerson Park Rail Station
910GENFLDTN,Enfield Town Rail Station
910GFNCHLYR,Finchley Road & Frognal Rail Station
910GFORESTH,Forest Hill Rail Station
910GGOSPLOK,Gospel Oak Rail Station
910GGNRSBRY,Gunnersbury Rail Station
910GHACKNYC,Hackney Central Rail Station
910GHAKNYNM,Hackney Downs Rail Station
910GHACKNYW,Hackney Wick Rail Station
910GHAGGERS,Haggerston Rail Station
910GHMPSTDH,Hampstead Heath Rail Station
910GHARLSDN,Harlesden Rail Station
910GHRGYGL,Harringay Green Lanes Rail Station
910GHROW,Harrow & Wealdstone Rail Station
910GHTCHEND,Hatch End Rail Station
910GHEDSTNL,Headstone Lane Rail Station
910GHGHMSPK,Highams Park Rail Station
910GHGHI,Highbury & Islington Rail Station
910GHOMRTON,Homerton Rail Station
910GHONROPK,Honor Oak Park Rail Station
910GHOXTON,Hoxton Rail Station
910GCSEAH,Imperial Wharf Rail Station
910GKENSLG,Kensal Green Rail Station
910GKENR,Kensal Rise Rail Station
910GKENOLYM,Kensington (Olympia) Rail Station
910GKNTSHTW,Kentish Town West Rail Station
910GKTON,Kenton Rail Station
910GKEWGRDN,Kew Gardens Rail Station
910GKLBRNHR,Kilburn High Road Rail Station
910GLEYTNMR,Leyton Midland Road Rail Station
910GLYTNSHR,Leytonstone High Road Rail Station
910GEUSTON,London Euston Rail Station
910GLONFLDS,London Fields Rail Station
910GLIVST,London Liverpool Street Rail Station
910GNWCRELL,New Cross ELL Rail Station
910GNEWXGTE,New Cross Gate Rail Station
910GNWEMBLY,North Wembley Rail Station
910GNORWDJ,Norwood Junction Rail Station
910GPCKHMRY,Peckham Rye Rail Station
910GPENEW,Penge West Rail Station
910GQPRK,Queens Park (London) Rail Station
910GPCKHMQD,Queens Road Peckham Rail Station
910GRCTRYRD,Rectory Road Rail Station
910GRICHMND,Richmond (London) Rail Station
910GROMFORD,Romford Rail Station
910GRTHERHI,Rotherhithe Rail Station
910GSEVNSIS,Seven Sisters Rail Station
910GSHADWEL,Shadwell Rail Station
910GSHPDSB,Shepherds Bush Rail Station
910GSHRDHST,Shoreditch High Street Rail Station
910GSIVRST,Silver Street Rail Station
910GSACTON,South Acton Rail Station
910GSHMPSTD,South Hampstead Rail Station
910GSKENTON,South Kenton Rail Station
910GSTOTNHM,South Tottenham Rail Station
910GSBURY,Southbury Rail Station
910GSTJMSST,St James Street (London) Rail Station
910GSTMFDHL,Stamford Hill Rail Station
910GSTKNWNG,Stoke Newington Rail Station
910GSTNBGPK,Stonebridge Park Rail Station
910GSTFD,Stratford (London) Rail Station
910GSURREYQ,Surrey Quays Rail Station
910GSYDENHM,Sydenham Rail Station
910GTHBLDSG,Theobalds Grove Rail Station
910GTURKYST,Turkey Street Rail Station
910GUPMNSTR,Upminster Rail Station
910GUPRHLWY,Upper Holloway Rail Station
910GWLTWCEN,Walthamstow Central Rail Station
910GWLTHQRD,Walthamstow Queens Road Rail Station
910GWNDSWRD,Wandsworth Road Rail Station
910GWNSTDPK,Wanstead Park Rail Station
910GWAPPING,Wapping Rail Station
910GWATFDHS,Watford High Street Rail Station
910GWATFDJ,Watford Junction Rail Station
910GWMBY,Wembley Central Rail Station
910GWBRMPTN,West Brompton Rail Station
910GWCROYDN,West Croydon Rail Station
910GWHMDSTD,West Hampstead Rail Station
910GWHHRTLA,White Hart Lane Rail Station
910GWCHAPEL,Whitechapel Rail Station
910GWLSDJHL,Willesden Junction Rail Station
910GWDST,Wood Street Rail Station
910GWDGRNPK,Woodgrange Park Rail Station
